lane,comparison_key,dataset,metric,n,mean,sd,min,max,ci95_low,ci95_high
protocol_a_two_stage,CICIoT2023::rf::strict_tau,CICIoT2023,overall_reject_rate,5,0.004854382785633734,0.004173079436527129,4.390523932197139e-05,0.0079457506862937,-0.0003271797123464617,0.01003594528361393
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,system_macro_f1_declared_output_labels_historical,5,0.7802703895473602,0.0006104481364187706,0.7793619371924639,0.7808823492557774,0.7795124180735984,0.7810283610211219
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,system_macro_f1_supported_labels,5,0.891737588054126,0.0006976550130500281,0.8906993567913873,0.8924369705780313,0.8908713349412554,0.8926038411669965
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,system_accuracy,5,0.9704651650343065,0.0001694203289252806,0.9701927330243136,0.9706120280598384,0.9702548019113161,0.9706755281572969
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,stage2_macro_f1_fixedK,5,0.9276830965738798,8.465355148935482e-05,0.927576346854243,0.9277884335249396,0.9275779853066753,0.9277882078410843
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,stage2_macro_f1_present,5,0.9276830965738798,8.465355148935482e-05,0.927576346854243,0.9277884335249396,0.9275779853066753,0.9277882078410843
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,stage1_roc_auc,5,0.9974585657936034,6.272564592164102e-05,0.997387583202236,0.9975228497493434,0.9973806816172984,0.9975364499699083
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,benign_family_fp_rate,5,0.01633686454793784,0.0003403110366558152,0.0158571523752415,0.0167455082506051,0.015914312585530912,0.01675941651034477
protocol_a_two_stage,CICIoT2023::xgb::strict,CICIoT2023,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,system_macro_f1_declared_output_labels_historical,5,0.7776124728349993,0.0021700664321627097,0.7741797870681921,0.7799666195733905,0.7749179794724724,0.7803069661975263
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,system_macro_f1_supported_labels,5,0.8886999689542848,0.0024800759224716637,0.8847768995065053,0.8913904223695891,0.8856205479685397,0.8917793899400299
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,system_accuracy,5,0.9639261382158886,0.0024824122145610263,0.960090137456328,0.9670425321029622,0.9608438163403669,0.9670084600914103
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,stage2_macro_f1_fixedK,5,0.9276830965738798,8.465355148935482e-05,0.927576346854243,0.9277884335249396,0.9275779853066753,0.9277882078410843
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,stage2_macro_f1_present,5,0.9276830965738798,8.465355148935482e-05,0.927576346854243,0.9277884335249396,0.9275779853066753,0.9277882078410843
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,stage1_roc_auc,5,0.9974585657936034,6.272564592164102e-05,0.997387583202236,0.9975228497493434,0.9973806816172984,0.9975364499699083
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,benign_family_fp_rate,5,0.008452706154085301,0.001979870530275433,0.0056410598085593,0.0112154929264663,0.005994372195537695,0.010911040112632907
protocol_a_two_stage,CICIoT2023::xgb::strict_tau,CICIoT2023,overall_reject_rate,5,0.011149955052011181,0.0033207439402313695,0.0068755604778207,0.0162098143576718,0.00702670685417257,0.015273203249849793
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,macro_f1,5,0.7003935600484572,0.016728321343134126,0.677672174343127,0.7191560220444938,0.6796226056863038,0.7211645144106106
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,accuracy,5,0.9865141237217777,0.005289648907723701,0.9806351456245148,0.9904941896437288,0.9799461571099193,0.9930820903336361
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,benign_family_fp_rate,5,0.00422345139150324,0.001615450860145075,0.002919116156497,0.0062523529582114,0.0022176042175937926,0.0062292985654126875
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,overall_reject_rate,5,0.00922727323861268,0.003996607012589419,0.0060544699807633,0.0136771174333187,0.00426483019611169,0.014189716281113669
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,unknown_detection_rate,5,0.24324324324324326,0.10727069729424475,0.1006006006006006,0.3978978978978979,0.11004908035076535,0.3764374061357212
protocol_b_loao,CICIDS2017::Botnet,CICIDS2017,false_unknown_rate_all_known,5,0.00887609030214122,0.004023961241709912,0.0058765341967872,0.0133821842771164,0.003879682498142698,0.013872498106139742
